20130101,1730
20130102,1723
20130103,1730
20130104,1724
20130105,1730
20130106,1722
20130107,1730
20130108,1723
20130109,1730
20130110,1724
20130111,1730
20130112,1723
20130113,1730
20130114,1723
20130115,1729
20130116,1723
20130117,1730
20130118,1722
20130119,1730
20130120,1723
20130121,1730
20130122,1723
20130123,1730
20130124,1722
20130125,1730
20130126,1723
20130127,1730
20130128,1722
20130129,1730
20130130,1723
20130131,1730
20130201,1723
20130202,1730
20130203,1722
20130204,1730
20130205,1723
20130206,1730
20130207,1722
20130208,1730
20130209,1724
20130210,1730
20130211,1724
20130212,1730
20130213,1723
20130214,1730
20130215,1724
20130216,1730
20130217,1722
20130218,1730
20130219,1723
20130220,1730
20130221,1723
20130222,1730
20130223,1723
20130224,1730
20130225,1723
20130226,1730
20130227,1728
20130228,1730
20130301,1723
20130302,1730
20130303,1722
20130304,1730
20130305,1724
20130306,1730
20130307,1730
20130308,1723
20130309,1730
20130310,1723
20130311,1730
20130312,1723
20130313,1730
20130314,1724
20130315,1730
20130316,1722
20130317,1730
20130318,1723
20130319,1730
20130320,1724
20130321,1730
20130322,1724
20130323,1730
20130324,1723
20130325,1730
20130326,1723
20130327,1730
20130328,1722
20130329,1730
20130330,1722
20130331,1730
20130401,1724
20130402,1730
20130403,1723
20130404,1730
20130405,1723
20130406,1730
20130407,1723
20130408,1730
20130409,1730
20130410,1510
20130411,1730
20130412,1634
20130413,1730
20130414,1723
20130415,1730
20130416,1724
20130417,1730
20130418,1723
20130419,1730
20130420,1716
20130421,1730
20130422,1723
20130423,1730
20130424,1723
20130425,1729
20130426,1724
20130427,1730
20130428,1723
20130429,1730
20130430,1723
20130501,1730
20130502,1723
20130503,1730
20130504,1723
20130505,1730
20130506,1720
20130507,1730
20130508,1723
20130509,1730
20130510,1724
20130511,1730
20130512,1723
20130513,1730
20130514,1723
20130515,1730
20130516,1723
20130517,1730
20130518,1722
20130519,1722
20130520,1730
20130521,1722
20130522,1730
20130523,1721
20130524,1730
20130525,1722
20130526,1715
20130527,1698
20130528,1656
20130529,1649
20130530,1619
20130531,1676
20130601,1723
20130602,1730
20130603,1723
20130604,1730
20130605,1723
20130606,1730
20130607,1554
20130608,1730
20130609,1723
20130610,1730
20130611,1723
20130612,1730
20130613,1724
20130614,1730
20130615,1723
20130616,1730
20130617,1723
20130618,1730
20130619,1723
20130620,1730
20130621,1723
20130622,1730
20130623,1724
20130624,1730
20130625,1723
20130626,1730
20130627,1723
20130628,1730
20130629,1724
20130630,1730
20130701,1723
20130702,1730
20130703,1722
20130704,1730
20130705,1723
20130706,1730
20130707,1722
20130708,1730
20130709,1730
20130710,1723
20130711,1730
20130712,1723
20130713,1730
20130714,1724
20130715,1730
20130716,1723
20130717,1730
20130718,1724
20130719,1730
20130720,1723
20130721,1730
20130722,1624
20130723,1730
20130724,1724
20130725,1730
20130726,1730
20130727,1724
20130728,1730
20130729,1724
20130730,1680
20130731,1730
20130801,1684
20130802,1730
20130803,1723
20130804,1730
20130805,1724
20130806,1730
20130807,1722
20130808,1730
20130809,1723
20130810,1730
20130811,1722
20130812,1730
20130813,1724
20130814,1730
20130815,1724
20130816,1730
20130817,1724
20130818,1730
20130819,1724
20130820,1730
20130821,1723
20130822,1730
20130823,1723
20130824,1730
20130825,1722
20130826,1730
20130827,1723
20130828,1730
20130829,1722
20130830,1667
20130831,1724
20130901,1730
20130902,1724
20130903,1730
20130904,1723
20130905,1318
20130906,1189
20130907,1092
20130908,1039
20130909,1350
20130910,1730
20130911,1726
20130912,1730
20130913,1682
20130914,1730
20130915,1722
20130916,1730
20130917,1722
20130918,1730
20130919,1721
20130920,1730
20130921,1723
20130922,1730
20130923,1722
20130924,1730
20130925,1724
20130926,1730
20130927,1722
20130928,1730
20130929,1723
20130930,1730
20131001,1722
20131002,1730
20131003,1722
20131004,1730
20131005,1721
20131006,1730
20131007,1722
20131008,1730
20131009,1723
20131010,1730
20131011,1722
20131012,1730
20131013,1723
20131014,1730
20131015,1723
20131016,1730
20131017,1721
20131018,1730
20131019,1722
20131020,1730
20131021,1722
20131022,1730
20131023,1722
20131024,1724
20131025,1730
20131026,1723
20131027,1730
20131028,1723
20131029,1730
20131030,1723
20131031,1730
20131101,1724
20131102,1730
20131103,1723
20131104,1730
20131105,1723
20131106,1730
20131107,1723
20131108,1730
20131109,1723
20131110,1730
20131111,1724
20131112,1730
20131113,1719
20131114,1728
20131115,1722
20131116,1730
20131117,1722
20131118,1730
20131119,1723
20131120,1724
20131121,1730
20131122,1730
20131123,1724
